Parameter Name,Parameter Usage,Parameter CAS Number,Parameter UOM Type,Parameter Synonym,Parameter Synonym Type
"N,N'-Diphenyl-p-phenylenediamine",Lab,74-31-7        ,SUBST,"1,4-Benzenediamine, N,N'-diphenyl-",Synonym
"N,N-Bis(2-Chloroethyl)-2-Napthylamine",Lab,494-03-1       ,SUBST,Chlornaphazine,Synonym
"N,N-Diethyl-m-toluamide",Lab,134-62-3       ,SUBST,"Benzamide, N,N-diethyl-3-methyl-",Synonym
"N,N-Diethyl-m-toluamide",Lab,134-62-3       ,SUBST,DEET,Trade Name
"N,N-Dimethylaniline",Lab,121-69-7       ,SUBST,,
"N-Benzhydrylidene-1-(2,4,6-trimethylphen",Lab,89839-57-6     ,SUBST,,
N-Benzyl-2-phenethylamine,Lab,3647-71-0      ,SUBST,,
n-Butylbenzene,Lab,104-51-8       ,SUBST,"Benzene, butyl-",Synonym
N-Ethly-Benzenesulfonamide,Lab,80-39-7        ,SUBST,,
N-METHYL-N'-NITROGUANIDINE,Lab,4245-76-5      ,SUBST,,
"N-Methyl-N-2,4,6-tetranitrobenzenamine",Lab,479-45-8       ,SUBST,,
N-Nitrosodi-N-Butylamine,Lab,924-16-3       ,SUBST,,
N-Nitrosodi-n-propylamine,Lab,621-64-7       ,SUBST,N-Nitrosodipropylamine,Synonym
N-Nitrosodi-n-propylamine,Lab,621-64-7       ,SUBST,Di-n-propylnitrosamine,Synonym
N-Nitrosodiethanolamine,Lab,1116-54-7      ,SUBST,,
N-Nitrosodiethylamine,Lab,55-18-5        ,SUBST,,
N-Nitrosodimethylamine,Lab,62-75-9        ,SUBST,"Methanamine, N-methyl-N-nitroso-",Synonym
N-Nitrosodimethylamine,Lab,62-75-9        ,SUBST,NDMA,Synonym
N-Nitrosodiphenylamine,Lab,86-30-6        ,SUBST,,
N-Nitrosomethylvinylamine,Lab,4549-40-0      ,SUBST,,
N-Nitrosopiperidine,Lab,100-75-4       ,SUBST,,
N-Nitrosopyrrolidine,Lab,930-55-2       ,SUBST,,
N-PHENYLMALEIMIDE,Lab,941-69-5       ,SUBST,,
n-Propylbenzene,Lab,103-65-1       ,SUBST,,
Naled,Lab,300-76-5       ,SUBST,"Phosphoric acid, 1,2-dibromo-2,2-dichloroethyl dimethyl ester",Synonym
Naphtha,Lab,8030-30-6      ,SUBST,,
Naphthacene,Lab,92-24-0        ,SUBST,Tetracene,Synonym
Naphthacene,Lab,92-24-0        ,SUBST,Benz(b)anthracene,Synonym
Naphthacene,Lab,92-24-0        ,SUBST,Benzo(b)anthracene,Synonym
Naphthalene,Lab,91-20-3        ,SUBST,Napthalene,Synonym
Naphthalene,Lab,91-20-3        ,SUBST,Tar Camphor,Synonym
Naphthalene,Lab,91-20-3        ,SUBST,Aromatic oil #2,Synonym
Naphthalene,Lab,91-20-3        ,SUBST,Aromatic oil #3,Synonym
"Naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-7-methyl-4",Lab,30021-74-0     ,SUBST,,
"Naphthalene, 1,2,3,4-Tetrahydro-",Lab,119-64-2       ,SUBST,,
"Naphthalene, 1,2,3,4-tetrahydro-1,1,6-trimethyl-",Lab,475-03-6       ,SUBST,,
"Naphthalene, 1,2,3,4-tetrahydro-1,5-dimethyl-",Lab,21564-91-0     ,SUBST,,
"Naphthalene, 1,2,3,4-Tetrahydro-1,6-Dimethyl-4-(1-Meth",Lab,483-77-2       ,SUBST,,
"Naphthalene, 1,2,3,4-tetrahydro-1-phenyl-",Lab,3018-20-0      ,SUBST,,
"Naphthalene, 1,2,3,4-Tetrahydro-2-Methyl-",Lab,3877-19-8      ,SUBST,,
"Naphthalene, 1,2,3,4-Tetrahydro-6-Methyl-",Lab,1680-51-9      ,SUBST,,
"Naphthalene, 1,2,3-Trimethyl-4-Propenyl-, (E)-",Lab,26137-53-1     ,SUBST,,
"Naphthalene, 1,2,4a,5,6,8a-Hexahydro-4,7-Dimethyl-1-(1",Lab,31983-22-9     ,SUBST,,
"Naphthalene, 1,2,4a,5,8,8a-hexahydro-4,7-dimethyl-1",Lab,523-47-7       ,SUBST,,
"Naphthalene, 1,2-dihydro-1-phenyl-",Lab,16606-46-5     ,SUBST,,
"Naphthalene, 1,2-Dimethyl-",Lab,573-98-8       ,SUBST,,
"Naphthalene, 1,3-dimethyl-",Lab,575-41-7       ,SUBST,,
"Naphthalene, 1,4,5-Trimethyl-",Lab,2131-41-1      ,SUBST,,
"Naphthalene, 1,4,6-Trimethyl-",Lab,2131-42-2      ,SUBST,,
"Naphthalene, 1,4-Dimethyl-",Lab,571-58-4       ,SUBST,,
"Naphthalene, 1,5-dimethyl-",Lab,571-61-9       ,SUBST,,
"Naphthalene, 1,6,7-Trimethyl",Lab,2245-38-7      ,SUBST,,
"Naphthalene, 1,6-dimethyl-",Lab,575-43-9       ,SUBST,,
"Naphthalene, 1,6-Dimethyl-4-(1-Methylethyl)-",Lab,483-78-3       ,SUBST,,
"Naphthalene, 1,7-Dimethyl-",Lab,575-37-1       ,SUBST,,
"Naphthalene, 1,8-dimethyl-",Lab,569-41-5       ,SUBST,,
"NAPHTHALENE, 1-DECYL-1,2,3,4-TETRAHYDRO-",,55255-57-7     ,SUBST,,
"Naphthalene, 1-Ethyl-",Lab,1127-76-0      ,SUBST,,
"Naphthalene, 1-Methyl-7-(1-Methylethyl)-",Lab,490-65-3       ,SUBST,,
"Naphthalene, 2,3,6-Trimethyl-",Lab,829-26-5       ,SUBST,,
"Naphthalene, 2,3-dimethyl-",Lab,581-40-8       ,SUBST,,
"Naphthalene, 2,6-dimethyl-",Lab,581-42-0       ,SUBST,"2,6-Dimethylnaphthalene",Synonym
"Naphthalene, 2,7-Dimethyl-",Lab,582-16-1       ,SUBST,,
"Naphthalene, 2-(1-Methylethyl)-",Lab,2027-17-0      ,SUBST,,
"Naphthalene, 2-ethenyl-",Lab,827-54-3       ,SUBST,,
"Naphthalene, 2-Phenyl-",Lab,612-94-2       ,SUBST,,
"Naphthalene, Decahydro-",Lab,91-17-8        ,SUBST,,
"Naphthalene, heptachloro-",Lab,32241-08-0     ,SUBST,Heptachloronaphthalene,Synonym
"Naphthalene, hexachloro-",Lab,1335-87-1      ,SUBST,Hexachloronaphthalene,Synonym
"Naphthalene, pentachloro-",Lab,1321-64-8      ,SUBST,Pentachloronaphthalene,Synonym
"Naphthalene, tetrachloro-",Field,1335-88-2      ,SUBST,Tetrachloronaphthalene,Synonym
"Naphthalene, trichloro-",Lab,1321-65-9      ,SUBST,Trichloronaphthalene,Synonym
Naphthalene-D8,Lab,1146-65-2      ,SUBST,,
"Naphtho[2,3-C]Furan-1(3h)-One, 3a,4,9,9a-Tetrahydro-6-",Lab,518-55-8       ,SUBST,,
"Naphthoquinone, 1,4-",Lab,130-15-4       ,SUBST,,
"Naphthylamine, 2-",Lab,91-59-8        ,SUBST,beta-Naphthylamine,Synonym
"Naphthylamine, 2-",Lab,91-59-8        ,SUBST,2-Naphthalenamine,Synonym
Napropamide,Lab,15299-99-7     ,SUBST,,
Naproxen,Lab,22204-53-1     ,SUBST,,
Neburon,Lab,555-37-3       ,SUBST,"Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl-",Synonym
Neoabietic Acid,Lab,471-77-2       ,SUBST,,
Neodymium,Lab,7440-00-8      ,SUBST,,
Niacinamide,Lab,98-92-0        ,SUBST,3-Pyridinecarboxamide,Synonym
Niacinamide,Lab,98-92-0        ,SUBST,Vitamin B3 variant,Synonym
Nickel,Lab,7440-02-0      ,SUBST,,
Nickel refinery dust,Lab,,SUBST,,
Nickel subsulfide,Lab,12035-72-2     ,SUBST,Nickel sulfide (Ni3S2),Synonym
Nicotine,Lab,54-11-5        ,SUBST,,
Niobium,Lab,3/1/7440,SUBST,,
Nitrate,Lab,14797-55-8     ,SUBST,Nitrate as nitrogen (N),Synonym
Nitrate,Lab,14797-55-8     ,SUBST,"Nitrogen, nitrate total (as NO3)",Synonym
Nitrate,Lab,14797-55-8     ,SUBST,Nitrate (as N),Synonym
Nitrate-Nitrite as N,Lab,,SUBST,,
Nitrite,Lab,14797-65-0     ,SUBST,Nitrite (as N),Synonym
Nitrite as N,Lab,,SUBST,,
Nitrite-Nitrate,Lab,,SUBST,,
Nitrobenzene,Lab,98-95-3        ,SUBST,,
Nitrocellulose,Lab,9004-70-0      ,SUBST,,
Nitrofen,Lab,1836-75-5      ,SUBST,,
Nitrofurazone,Lab,59-87-0        ,SUBST,"Hydrazinecarboxamide, 2-[(5-nitro-2-furanyl)methylene]-",Synonym
Nitrogen,Field and Lab,7727-37-9      ,SUBST,"Nitrogen, organic total (as N)",Synonym
Nitrogen,Field and Lab,7727-37-9      ,SUBST,Ammonia Nitrogen,Synonym
Nitrogen,Field and Lab,7727-37-9      ,SUBST,"Nitrogen, inorganic total",Synonym
Nitrogen,Field and Lab,7727-37-9      ,SUBST,Total Kjeldhal Nitrogen (TKN),Synonym
"Nitrogen compounds, inorganic",Field and Lab,,SUBST,,
Nitroglycerine,Lab,55-63-0        ,SUBST,"1,2,3-Propanetriol, trinitrate",Synonym
Nitroguanidine,Lab,556-88-7       ,SUBST,,
Nitrosomorpholine,Lab,59-89-2        ,SUBST,,
Nitrotoluene,Lab,1321-12-6      ,SUBST,"Nitrotoluene, m-, o-, or p-",Synonym
Nitrotoluene,Lab,1321-12-6      ,SUBST,"Benzene, methylnitro-",Synonym
Non-Polar Lipids,Lab,,SUBST,,
Non-Polar Material,Lab,,SUBST,Silica Gel Treated N-Hexane Extractable Material,Synonym
Non-Polar Material,Lab,,SUBST,SGT-HEM,Synonym
Nonachlor III,Lab,130939-67-2,SUBST,,
Nonacosane,Lab,630-03-5       ,SUBST,,
Nonadecane,Lab,629-92-5       ,SUBST,,
Nonanal,Lab,124-19-6       ,SUBST,,
Nonane (8ci9ci),Lab,111-84-2       ,SUBST,,
"Nonane, 3,7-Dimethyl- (8ci9c",Lab,17302-32-8     ,SUBST,,
"Nonane, 3-Methyl-5 Propyl",Lab,31081-18-2     ,SUBST,,
Norethindrone,Lab,68-22-4        ,SUBST,,
Norfloxacin,Lab,70458-96-7     ,SUBST,,
Norfluoxetine,Lab,126924-38-7    ,SUBST,,
Norflurazon,Lab,27314-13-2     ,SUBST,,
Norgestimate,Lab,35189-28-7     ,SUBST,,
Norgestrel,Lab,6533-00-2      ,SUBST,,
Norverapamil,Lab,67018-85-3     ,SUBST,,
Number of benthic macroinvertebrate samples in composite,Field and Lab,,MISC,,
Number of Colonial Organisms,Field and Lab,,MISC,,
Number of Individual Organisms,Field and Lab,,MISC,,
"O,O,O-Triethyl phosphorothioate",Lab,126-68-1       ,SUBST,Triethylphosphorothionate,Synonym
"O,O,O-Triethyl phosphorothioate",Lab,126-68-1       ,SUBST,"Phosphorothioic acid, O,O,O-triethyl ester",Synonym
o-Anisidine,Lab,90-04-0        ,SUBST,"Benzenamine, 2-methoxy-",Synonym
o-Bromophenol,Lab,95-56-7,SUBST,"Phenol, 2-bromo-",Synonym
o-Chloronitrobenzene,Lab,88-73-3        ,SUBST,"Benzene, 1-chloro-2-nitro-",Synonym
o-Cresol,Lab,95-48-7        ,SUBST,"Phenol, 2-methyl-",Synonym
o-Cresol,Lab,95-48-7        ,SUBST,o-Hydroxytoluene,Synonym
o-Cresol,Lab,95-48-7        ,SUBST,2-Methylphenol,Synonym
o-Cresol,Lab,95-48-7        ,SUBST,ortho-Cresol,Synonym
o-Dinitrobenzene,Lab,528-29-0       ,SUBST,"1,2-Dinitrobenzene",Synonym
o-Dinitrobenzene,Lab,528-29-0       ,SUBST,"Benzene, 1,2-dinitro-",Synonym
o-Fluoroacetophenone,Lab,445-27-2       ,SUBST,,
o-Terphenyl,Lab,84-15-1        ,SUBST,"1,1':2',1''-Terphenyl",Synonym
o-Toluidine,Lab,95-53-4        ,SUBST,"Benzenamine, 2-methyl",Synonym
o-Xylene,Lab,95-47-6        ,SUBST,"Benzene, 1,2-dimethyl-",Synonym
Observation,Field,,SUBST,,
OCDD,Lab,3268-87-9      ,SUBST,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",Synonym
OCDD,Lab,3268-87-9      ,SUBST,"1,2,3,4,6,7,8,9-OCDD",Synonym
OCDD,Lab,3268-87-9      ,SUBST,Octachlorodibenzo-p-dioxin,Synonym
OCDF,Lab,39001-02-0     ,SUBST,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",Synonym
OCDF,Lab,39001-02-0     ,SUBST,"1,2,3,4,6,7,8,9-OCDF",Synonym
OCDF,Lab,39001-02-0     ,SUBST,Octachlorodibenzofuran,Synonym
Octachlorostyrene,Lab,29082-74-4     ,SUBST,"Benzene, pentachloro(trichloroethenyl)-",Synonym
Octacosane,Lab,630-02-4       ,SUBST,n-Octacosane Aliphatic Hydrocarbons,Synonym
Octadecanal,Lab,638-66-4       ,SUBST,,
Octadecane,Lab,593-45-3       ,SUBST,N-Octadecane,Synonym
"Octadecane, 1-chloro-",Lab,3386-33-2      ,SUBST,1-Chlorooctadecane,Synonym
"Octadecane, 3-methyl-",Lab,6561-44-0      ,SUBST,,
Octadecanoic Acid,Lab,57-11-4        ,SUBST,,
"Octadecanoic acid, 2-hydroxy-, methyl ester",Lab,2420-35-1      ,SUBST,,
"Octadecanoic Acid, 2-Methylpropyl Ester",Lab,646-13-9       ,SUBST,,
"Octadecanoic acid, ethyl ester",Lab,111-61-5       ,SUBST,,
"Octadecanoic acid, octadecyl ester",Lab,2778-96-3      ,SUBST,"Stearic acid, octadecyl ester",Synonym
"Octadecanoic acid, octadecyl ester",Lab,2778-96-3      ,SUBST,Stearyl stearate,Synonym
"Octahydro-1,3,5,7-Tetranitro-1,3,5,7-Tetrazocine",Lab,2691-41-0      ,SUBST,,
Octamethyltrisiloxane,Lab,107-51-7       ,SUBST,"Trisiloxane, 1,1,1,3,3,5,5,5-octamethyl-",Synonym
Octanal,Lab,124-13-0,SUBST,,
Octane (Dot),Lab,111-65-9       ,SUBST,,
"Octane, 2,6-dimethyl",Lab,2051-30-1      ,SUBST,,
"Octane, 2,7-Dimethyl-",Lab,1072-16-8      ,SUBST,,
"Octane, 3,5-dimethyl-",Lab,15869-93-9     ,SUBST,,
"Octane, 3-bromo-",Lab,999-64-4       ,SUBST,3-Bromooctane,Synonym
"Octane, 4-methyl-",Lab,2216-34-4      ,SUBST,,
Octanoic Acid,Lab,124-07-2       ,SUBST,,
Ofloxacin,Lab,82419-36-1     ,SUBST,,
Oil and Grease,Lab,,SUBST,N-Hexane Extractable Material,Synonym
Oil and Grease,Lab,,SUBST,HEM,Synonym
Oil and Grease,Lab,,SUBST,Oil and grease -- CWA 304B,Synonym
"Oils Fluorescence, Diesel Fuel Marine Equivalents (DFME)",Field and Lab,,SUBST,,
"Oils Fluorescence, flowthrough",Field and Lab,,MISC,,
"Oils Fluorescence, in situ",Field and Lab,,MISC,,
Okadaic acid,Lab,,SUBST,,
Oleic Acid,Lab,112-80-1       ,SUBST,9-Octadecenoic acid (9Z)-,Synonym
Oleic-Linolenic Acid Mixture,Lab,,SUBST,,
Oleyl Alcohol,Lab,143-28-2       ,SUBST,,
Organic Nitrogen,Field and Lab,,SUBST,,
Ormetoprim,Lab,6981-18-6      ,SUBST,,
Ortho-Phosphate,Lab,,SUBST,Orthophosphate,Synonym
Ortho-Phosphorous as P,Lab,,SUBST,,
Oryzalin,Lab,19044-88-3     ,SUBST,,
Other Tetrachlorophenols,Lab,,SUBST,Tetrachlorophenol salts and esters,Synonym
Oxacillin,Lab,66-79-5        ,SUBST,,
Oxacycloheptadecan-2-one,Lab,109-29-5       ,SUBST,,
Oxadiazon,Lab,19666-30-9     ,SUBST,Oxydiazon,Synonym
Oxamyl,Lab,23135-22-0     ,SUBST,"Ethanimidothioic acid, 2-(dimethylamino)-N-[[(methylamino)carbonyl]oxy]-2-oxo-, methyl ester",Synonym
Oxamyl,Lab,23135-22-0     ,SUBST,Vydate,Synonym
Oxamyl Oxime,Lab,30558-43-1     ,SUBST,"Ethanimidothioic acid, 2-(dimethylamino)-N-hydroxy-2-oxo-, methyl ester",Synonym
"Oxazole, 2,4-dimethyl",Lab,5/1/7208,SUBST,,
Oxetane,Lab,503-30-0,SUBST,Trimethylene oxide,Synonym
Oxidation Reduction Potential,Field and Lab,,MISC,Eh,Synonym
Oxidation Reduction Potential,Field and Lab,,MISC,ORP,Synonym
Oxidation Reduction Potential,Field and Lab,,MISC,Redox,Synonym
"Oxirane, tetramethyl-",,5076-20-0      ,SUBST,,
Oxolinic Acid,Lab,14698-29-4     ,SUBST,,
Oxybenzone,Lab,131-57-7       ,SUBST,"Benzophenone, 2-hydroxy-4-methoxy-",Synonym
Oxychlordane,Lab,27304-13-8     ,SUBST,Chlordane breakdown product,BREAKDOWN PRODUCT
Oxycodone,Lab,76-42-6        ,SUBST,,
Oxydisulfoton,Lab,7/6/2497,SUBST,Disulfoton sulfoxide,Synonym
Oxyfluorfen,Lab,42874-03-3     ,SUBST,,
Oxygen 18,Lab,14797-71-8,RAD,Oxygen-18,Synonym
Oxygen 18,Lab,14797-71-8,RAD,"Oxygen, isotope of mass 18, at.",Synonym
Oxymetazoline,Lab,1491-59-4      ,SUBST,,
Oxytetracycline,Lab,79-57-2        ,SUBST,,
p-Aminopropiophenone,Lab,70-69-9        ,SUBST,"Propiophenone, 4-amino",Synonym
p-Aminopropiophenone,Lab,70-69-9        ,SUBST,"1-Propanone, 1-(4-aminophenyl)-",Synonym
p-Anisidine,Lab,104-94-9       ,SUBST,"Benzenamine, 4-methoxy-",Synonym
p-Anisidine,Lab,104-94-9       ,SUBST,4-Methoxyaniline,Synonym
p-Chlorobenzoic acid,Lab,74-11-3        ,SUBST,"Benzoic acid, 4-chloro-",Synonym
p-Chlorobenzotrifluoride,Lab,98-56-6        ,SUBST,"Benzene, 1-chloro-4-(trifluoromethyl)-",Synonym
p-Chloronitrobenzene,Lab,100-00-5       ,SUBST,"Benzene, 1-chloro-4-nitro-",Synonym
p-Chlorophenol,Lab,106-48-9       ,SUBST,4-Chlorophenol,Synonym
p-Chlorophenyl methyl sulfide,Lab,123-09-1       ,SUBST,"Benzene, 1-chloro-4-(methylthio)-",Synonym
p-Chlorophenyl methyl sulfone,Lab,98-57-7        ,SUBST,"Benzene, 1-Chloro-4-(Methylsulfonyl)-",Synonym
p-Chlorophenyl methyl sulfoxide,Lab,934-73-6       ,SUBST,"Benzene, 1-chloro-4-(methylsulfinyl)-",Synonym
p-Cresol,Lab,106-44-5       ,SUBST,4-Hydroxytoluene,Synonym
p-Cresol,Lab,106-44-5       ,SUBST,para-Cresol,Synonym
p-Cresol,Lab,106-44-5       ,SUBST,"Phenol, 4-methyl-",Synonym
p-Cresol,Lab,106-44-5       ,SUBST,4-Methylphenol,Synonym
p-Dibromobenzene,Lab,106-37-6       ,SUBST,"Benzene, 1,4-dibromo-",Synonym
p-Ethyltoluene,Lab,622-96-8       ,SUBST,"Benzene, 1-Ethyl-4-Methyl-",Synonym
p-Ethyltoluene,Lab,622-96-8       ,SUBST,4-Ethyltoluene,Synonym
p-Isopropyltoluene,Lab,99-87-6        ,SUBST,"Benzene, 1-methyl-4-(1-methylethyl)-",Synonym
p-Isopropyltoluene,Lab,99-87-6        ,SUBST,4-Isopropyltoluene,Synonym
p-Isopropyltoluene,Lab,99-87-6        ,SUBST,p-Cymene,Synonym
p-Terphenyl,Lab,92-94-4        ,SUBST,"1,1':4', 1''-Terphenyl",Synonym
p-Terphenyl-D14,Lab,1718-51-0      ,SUBST,D14-Terphenyl,Synonym
p-Xylene,Lab,106-42-3       ,SUBST,"Benzene, 1,4-dimethyl-",Synonym
Paclobutrazol,Lab,76738-62-0     ,SUBST,"1H-1,2,4-Triazole- 1-ethanol, .beta.-[(4-chlorophenyl)methyl]-. alpha.-(1,1-dimethylethyl)-, (.alpha.R,.beta.R)-rel-",Synonym
Palmitoleic Acid,Lab,373-49-9       ,SUBST,"9-Hexadecenoic acid, (9Z)-",Synonym
Palustric Acid,Lab,1945-53-5      ,SUBST,,
Paraffin oils,Lab,8012-95-1      ,SUBST,Mineral oil,Synonym
Paraldehyde,Lab,123-63-7       ,SUBST,"1,3,5-Trioxane, 2,4,6-trimethyl-",Synonym
Paraoxon,Lab,311-45-5       ,SUBST,Parathion breakdown product,Synonym
Paraoxon,Lab,311-45-5       ,SUBST,"Phosphoric acid, diethyl 4-nitrophenyl *",Synonym
Paraquat,Lab,4685-14-7      ,SUBST,Paraquat ion,Synonym
Paraquat,Lab,4685-14-7      ,SUBST,"4,4'-Bipyridinium, 1,1'-dimethyl-",Synonym
Paraquat,Lab,4685-14-7      ,SUBST,Paraquat dication,Synonym
Paraquat dichloride,Lab,1910-42-5      ,SUBST,Gramoxone,Trade Name
Paraquat dichloride,Lab,1910-42-5      ,SUBST,"4,4'-Bipyridinium, 1,1'-dimethyl-, dichloride",Synonym
Parathion,Lab,56-38-2        ,SUBST,P089,RCRA Waste Number
Parathion,Lab,56-38-2        ,SUBST,Ethyl parathion,Synonym
Parathion,Lab,56-38-2        ,SUBST,"Phosphorothioic acid, O,O-diethy O-(p-ni",Synonym
Paraxanthine,Lab,611-59-6       ,SUBST,"1,7-Dimethylxanthine",Synonym
Paraxanthine,Lab,611-59-6       ,SUBST,"1,7-dimethyl-3H-purine-2,6-dione",Synonym
Paroxetine,Lab,61869-08-7     ,SUBST,,
"Particle/Grain Size 16-32 mm (Wentworth Course Gravel, Phi -5 to -4)",Field and Lab,,SUBST,Particle/Grain Size 16-32 mm,Synonym
"Particle/Grain Size 16-32 mm (Wentworth Course Gravel, Phi -5 to -4)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale -5 to -4",Synonym
"Particle/Grain Size 16-32 mm (Wentworth Course Gravel, Phi -5 to -4)",Field and Lab,,SUBST,Particle/Grain Size Course Gravel (Wentworth Scale),Synonym
"Particle/Grain Size 32-64 mm (Wentworth Very Coarse Gravel, Phi -6 to -5)",Field and Lab,,SUBST,Particle/Grain Size 32-64 mm,Synonym
"Particle/Grain Size 32-64 mm (Wentworth Very Coarse Gravel, Phi -6 to -5)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale -6 to -5",Synonym
"Particle/Grain Size 32-64 mm (Wentworth Very Coarse Gravel, Phi -6 to -5)",Field and Lab,,SUBST,Particle/Grain Size Very Coarse Gravel (Wentworth Scale),Synonym
"Particle/Grain Size 4-8 mm (Wentworth Fine Gravel, Phi -3 to -2)",Field and Lab,,SUBST,Particle/Grain Size Fine Gravel (Wentworth Scale),Synonym
"Particle/Grain Size 4-8 mm (Wentworth Fine Gravel, Phi -3 to -2)",Field and Lab,,SUBST,Particle/Grain Size 4-8 mm,Synonym
"Particle/Grain Size 4-8 mm (Wentworth Fine Gravel, Phi -3 to -2)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale -3 to -2",Synonym
"Particle/Grain Size 64-256 mm (Wentworth Cobble, Phi -8 to -6)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale -8 to -6",Synonym
"Particle/Grain Size 64-256 mm (Wentworth Cobble, Phi -8 to -6)",Field and Lab,,SUBST,Particle/Grain Size Cobble (Wentworth Scale),Synonym
"Particle/Grain Size 64-256 mm (Wentworth Cobble, Phi -8 to -6)",Field and Lab,,SUBST,Particle/Grain Size 64-256 mm,Synonym
"Particle/Grain Size 8-16 mm (Wentworth Medium Gravel, Phi -4 to -3)",Field and Lab,,SUBST,Particle/Grain Size Medium Gravel (Wentworth Scale),Synonym
"Particle/Grain Size 8-16 mm (Wentworth Medium Gravel, Phi -4 to -3)",Field and Lab,,SUBST,Particle/Grain Size 8-16 mm,Synonym
"Particle/Grain Size 8-16 mm (Wentworth Medium Gravel, Phi -4 to -3)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale -4 to -3",Synonym
"Particle/Grain Size Phi Scale <-8 (Wentworth Boulder, >256 mm)",Field and Lab,,SUBST,"Particle/Grain Size, Phi Scale <-8",Synonym
"Particle/Grain Size Phi Scale <-8 (Wentworth Boulder, >256 mm)",Field and Lab,,SUBST,Particle/Grain Size >256 mm,Synonym
"Particle/Grain Size Phi Scale <-8 (Wentworth Boulder, >256 mm)",Field and Lab,,SUBST,Particle/Grain Size Boulder (Wentworth Scale),Synonym
"Particle/Grain Size, Clay",Lab,,SUBST,,
"Particle/Grain Size, Cobbles",Field and Lab,,SUBST,,
"Particle/Grain Size, Fines (Silt/Clay)",Field and Lab,,SUBST,,
"Particle/Grain Size, Gravel",Lab,,SUBST,,
"Particle/Grain Size, Mean",Lab,,LEN,,
"Particle/Grain Size, Median",Lab,,LEN,,
"Particle/Grain Size, Phi Scale -1 to 0",Field and Lab,,SUBST,Particle/Grain Size 2000-1000 microns,Synonym
"Particle/Grain Size, Phi Scale -1 to 0",Field and Lab,,SUBST,Particle/Grain Size 2-1 mm,Synonym
"Particle/Grain Size, Phi Scale -1 to 0",Field and Lab,,SUBST,Particle/Grain Size Very Coarse Sand (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale -2 to -1",Lab,,SUBST,Particle/Grain Size 4.00-2.00 mm,Synonym
"Particle/Grain Size, Phi Scale -2 to -1",Lab,,SUBST,Particle/Grain Size Very Fine Gravel (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale -2.25 to -1",Lab,,SUBST,Particle/Grain Size 4.75-2.00 mm,Synonym
"Particle/Grain Size, Phi Scale -2.25 to -1",Lab,,SUBST,US Sieve Size >4 to 10,Synonym
"Particle/Grain Size, Phi Scale -2.25 to -1",Lab,,SUBST,Particle/Grain Size Granule (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale <-1",Field and Lab,,SUBST,Particle/Grain Size >2000 microns,Synonym
"Particle/Grain Size, Phi Scale <-1",Field and Lab,,SUBST,Particle/Grain Size >2 mm,Synonym
"Particle/Grain Size, Phi Scale <-1",Field and Lab,,SUBST,Particle/Grain Size >=Gravel (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale <-2.00",Lab,,SUBST,Particle/Grain Size >4.00 mm,Synonym
"Particle/Grain Size, Phi Scale <-2.25",Lab,,SUBST,Particle/Grain Size >4.75 mm,Synonym
"Particle/Grain Size, Phi Scale <-2.25",Lab,,SUBST,US Sieve Size <=4,Synonym
"Particle/Grain Size, Phi Scale >10",Field and Lab,,SUBST,Particle/Grain Size <=Fine Clay (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale >10",Field and Lab,,SUBST,Particle/Grain Size <1 micron,Synonym
"Particle/Grain Size, Phi Scale >10",Field and Lab,,SUBST,Particle/Grain Size <0.0010 mm,Synonym
"Particle/Grain Size, Phi Scale 0 to 1",Field and Lab,,SUBST,Particle/Grain Size Coarse Sand (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale 0 to 1",Field and Lab,,SUBST,Particle/Grain Size 1000-500 microns,Synonym
"Particle/Grain Size, Phi Scale 0 to 1",Field and Lab,,SUBST,Particle/Grain Size 1-0.50 mm,Synonym
"Particle/Grain Size, Phi Scale 1 to 2",Field and Lab,,SUBST,Particle/Grain Size Medium Sand (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale 1 to 2",Field and Lab,,SUBST,Particle/Grain Size 0.50-0.25 mm,Synonym
"Particle/Grain Size, Phi Scale 1 to 2",Field and Lab,,SUBST,Particle/Grain Size 500-250 microns,Synonym
"Particle/Grain Size, Phi Scale 2 to 3",Field and Lab,,SUBST,Particle/Grain Size 250-125 microns,Synonym
"Particle/Grain Size, Phi Scale 2 to 3",Field and Lab,,SUBST,Particle/Grain Size Fine Sand (Wentworth Scale),Synonym
"Particle/Grain Size, Phi Scale 2 to 3",Field and Lab,,SUBST,Particle/Grain Size 0.25-0.125 mm,Synonym
